el,en
antipode,τελείως διαφορετικός
antiquarian,αρχαιόφιλος
antiquary,αρχαιολόγος
antiquated,απαρχαιωμένος
antique,αντίκα
antiquity,αρχαιότητα
antisemite,αντισημίτης
antisemitic,αντισημιτικός
antisemitism,αντισημιτισμός
antiseptic,αντισηπτικό
anti-social,αντικοινωνικός
antithetic,αντιθετικός
antivenim,αντίδοτο για δηλητήριο
antler,ελαφοκέρατο
antonym,αντίθετο
anus,πρωκτός
anvil,αμόνι
anxiety,ανησυχία
anxious,ανήσυχος
anybody,κανένας
anyhow,με οποιοδήποτε τρόπο
any longer,όχιπλέον
any more,πια
anyone,κανείς
anything,τίποτα
anyway,πάντως
anywhere,οπουδήποτε
aorta,αορτή
apace,γρήγορα
apache,αλήτης
a pair of jeans,τζιν
a pair of pyjamas,μία πιτζάμα
a pair of scissors,ένα ψαλίδι
a pair of shorts,σορτς
apart,χωριστά
apart from,εκτός από
apartheid,απαρτχάιντ
apartment,διαμέρισμα
apathetic,απαθής
apathy,απάθεια
apatite,απατίτης
ape,πίθηκος
aperiodic,απεριοδικός
aperture,οπή
apex,αποκορύφωμα
aphasia,αφασία
aphelion,αφήλιον
aphorism,απόφθεγμα
aphrodisiac,αφροδίσιος
apiary,μελισσοτροφείο
apical,κορυφαίος
apiece,καθένας
aplhanumeric,αλφαριθμητικός
aplomb,ψυχραιμία
apocalypse,αποκάλυψη
apocalyptic,αποκαλυπτικός
apocryphal,απόκρυφος
apogee,απόγειο
apologetic,μεταμελημένος
apologise,ζητώ συγνώμη
apologise for,ζητώ συγγνώμη
apology,συγνώμη
apoplectic,αποπληκτικός
apoplexy,αποπληξία
apostasy,αποστασία
apostate,αποστάτης
apostle,απόστολος
apostolic,αποστολικός
apostrophe,αποστροφή
apothecary,φαρμακοποιός
apothegm,απόφθεγμα
apotheosis,αποθέωση
appal,συγκλονίζω
appaling,απαίσιος
appall,συγκλονίζω
appalling,τρομακτικός
apparatus,συσκευή
apparel,ένδθμα
apparent,προφανής
apparently,κατά φαινόμενο
apparition,φάντασμα
appeal,κάνω έφεση
appealable,εφέσιμος
appealing,επικλητικός
appeal to,κάνω έφεση
appear,διαφαίνομαι
appearance,εμφάνιση
appease,κατευνάζω
appellant,εκκαλών
appellate,εκκλητός
appellation,επωνυμία
appellee,εφεσίβλητος
append,επισυνάπτω
appendage,προσάρτμημα
appendectomy,σκωλικοειδεκτομή
appendicitis,σκωληκοειδίτιδα
appendix,σκωληκοειδής απόφυση
apperception,ενσυνείδητη αντίληψη
appertain,σχετίζομαι
appertain to,προσιδιάζω
appetising,ορεκτικός
appetite,όρεξη
applaud,χειροκροτώ
applause,επευφημία
apple,μήλο
appliance,συσκευή
applicable,εφαμόσιμος
applicant,αιτών
application,εφαρμογή
applications,αιτήσεις
applied,εφαρμοσμένος
apply,κάνω αίτηση
apply for,κάνω αίτηση
apply oneself to,εγκύπτω
appoint,διορίζω
appointee,διοριζόμενος
appointment,ραντεβού
apportion,διανέμω
apportioning of blame,καταμερισμός των ευθυνών
apposite,ταιριαστός
apposition,παράθεση
appraisal,εκτίμηση
appraise,εκτιμώ
appreciable,αξιοσημείωτος
appreciate,κατανοώ
apprehend,συλλαμβάνω
apprehension,ταραχή
apprehensive,ανήσυχος
apprentice,δόκιμος
apprenticeship,μαθητεία
apprise,γνωστοποιώ
approach,προσεγγίζω
approachable,προσηνής
approbation,επιδοκιμασία
appropriate,κατάλληλος
appropriately,ταιριαστά
appropriation,σφετερισμός
approval,έγκριση
approval of,έγκριση
approve,επιδοκιμάζω
approved,εγκεκριμένος
approve of,εγκρίνω
approximate,περίπου
approximately,στα περίπου
apricot,βερίκοκο
April,Απρίλιος
apron,ποδιά
apropos,επί τη ευκαιρία
apse,αψίδα
apt,κατάλληλος
apterous,άπτερος
aptitude,ικανότητα
aqua,ύδωρ
aquarium,ενυδρίο
Aquarius,Υδρόχοος
aquatic,υδρόβιος
aqueduct,υδραγωγείο
aqueous,υδατινός
aquifer,υδροφόρο πέτρωμα
aquifer exploitation,εκμετάλλευση υδροπονίας
aquiline nose,αετίσια μύτη
aquitard,ημιυδροπερατός σχηματισμός
arabesque,αραβούργημα
arabic,αραβικός
arachnid,αραχνοειδής
a rap at the door,ελαφρύ χτύπημα της πόρτας
arbiter,διαιτητής
arbitrarily,αυθαίρετα
arbitrary,αυθαίρετος
arbitrate,διαιτητεύω
arbitration,διαιτησία
arboreal,δενδρικός
arborescent,δενδροειδής
arboretum,φυτώριο
arbour,κρεβατίνα
arc,αψίδα
arcade,αψίδωση
arcade game,ηλεκτρονικό παιχνίδι
arcane,απόκρυφος
arcdiocese,αρχιεπισκοπή
arch,θόλος
archaeologist,αρχαιολογικός
archaeology,αρχαιολογία
archaic,αρχαίος
archaise,εξαρχαϊζω
archaism,αρχαϊσμός
archangel,αρχάγγελος
archbishop,αρχιεπίσκοπος
archdeacon,αρχιδιάκονος
archdeaconry,αρχιδιακονία
arched,καμαρωτός
archenemy,ο μεγαλύτερος εχθρός
archer,τοξότης
archery,τοξοβολία
archetypal,αρχετυπικός
archetypally,αρχετυπικά
archetype,πρότυπο
archetypical,αρχετυπικός
archipelago,αρχιπέλαγος
architect,αρχιτέκτωνας
architectonic,αρχιτεκτονικός
architectural,αρχιτεκτονικός
architecture,αρχιτεκτονική
architrave,επιστύλιο
archival,αρχειακός
archive,αρχείο
archives,αρχεία
Arctic,Αρκτική
arctic,αρκτικός
arctic skua,μικροληστόγλαρος
arctic wasteland,αρκτικός χερσότοπος
ardency,πάθος
ardent,φλογερός
ardour,θέρμη
arduous,επίπονος
are,είναι
area,περιοχή
arena,αρένα
aresting,που συλλαμβάνει
are you still desirous of,επιθυμείς ακόμα
argillaceous,αργιλώδης
argon,αργόν
argot,αργκό
argue,επιχειρηματολογώ
argue about,μαλώνω
argue over,μαλώνω
argue with,διαφωνώ
argument,διαφωνία
argumentation,επιχειρηματολόγιο
argumentative,αμφιλεγόμενος
aria,άρια
arial,κεραία
arid,ξερός
aridity,ξηρότητα
Aries,Κριός
arise,εγείρομαι
arise from,προκύπτω από
aristocracy,αριστοκρατία
aristocrat,αριστοκράτης
aristocratic,αριστοκρατικός
arithmetic,αριθμητική
ark,κιβωτός
arm,χέρι
armada,αρμάδα
armadillo,αρμαδίλος
armament,εξοπλισμός
armband,περιβραχιόνιο
armchair,πολυθρόνα
armed,ένοπλος
armed forces,ένοπλες δυνάμεις
armed to the teeth,οπλισμένος σαν αστακός
Armenia,Αρμενία
armful,αγκαλιά
armhole,άνοιγμα μασχάλης
armistice,αναχωχή
armour,πανοπλία
armpit,μασχάλη
arms,όπλα
army,στρατός
aroma,άρωμα
aromatic,αρωματικός
around,γύρω
around normal,γύρω στα κανονικά επίπεδα
arousal,διέγειρση
arouse,διεγείρω
arpeggio,αρπέτζο
arraign,κλητεύω
arrange,τακτοποιώ
arrange a marriage,παντρολογώ
arrangement,ετοιμασία
arranger,αυτός που κανονίζει
array,διάταξη
arrears,καθυστερούμενα
arrest,συλλαμβάνω
arrival,άφιξη
arrivals board,πίνακας αφίξεων
arrive,φτάνω
arrive in the nick of time,φτάνω στο τσακ
arrogance,αλαζονεία
arrogant,υπερόπτης
arrogate,σφετερίζομαι
arrow,βέλος
arrowhead,αιχμή βέλους
arrowroot,μαραντάμυλο
arroyo,ξεροπόταμος
arse,κώλος
arse licker,γαλίφης
arse licking,γαλιφιά
arsenal,οπλοστασίο
arsenate,αρσενικό άλας
arsenic,αρσενικό
arsenide,αρσενικούχον μέταλλο
arsine,αρσίνη
arson,εμπρησμός
arsonist,εμπρηστής
art,τέχνη
arterial,αρτηριακός
arteriosclerosis,αρτηριοσκλήρωση
artery,αρτηρία
artesian water,αρτεσιανόν ύδωρ
artesian water power,αρτεσιανή υδραυλική ενέργεια
artful,πονηρός
arthritis,αρθρίτιδα
arthropod,αρθρόποδο
artichoke,αγκινάρα
article,άρθρο
Articles of Association,καταστατικά εταιρίας
articulate,έναρθρος
articulation,διάρθρωση
artifact,τεχνούργημα
artifice,τέχνασμα
artificial,τεχνητός
artificial insemination,τεχνητή γονιμοποίηση
artificial intelligence,τεχνητή νοημοσύνη
artificially,τεχνητά
artificial respiration,τεχνητή αναπνοή
artillery,πυροβολικό
artisan,τεχνίτης
artisitc,με καλλιτεχνικές ευαισθησίες
artist,καλλιτέχνης
artistic,καλλιτεχνικός
artistry,καλλιτεχνία
artless,άτεχνος
Arts and Humanities,ελεύθερες τέχνες
artwork,καλλιτέχνημα
arty,επιδεικτικός
as,σαν
as a last resort,στην τελευταία ανάγκη
as a matter of form,τύποις
as a result of,ως αποτέλεσμα
as a rule,εν γέννει
asbestos,αμίαντος
as black as night,μαύρο σαν κατράμι
as brown as a berry,μαυρισμένος από τον ήλιο
ascend,ανεβαίνω
ascendant,ανερχόμενος
ascension,ανάβαση
ascent,ανάβαση
ascertain,εξακριβώνω
ascetic,ασκητικός
asceticism,ασκητισμός
ascribe,επιρρίπτω
ascription,απόδοση
aseptic,ασηπτικός
asexual,μονογονικός
as far as,ως
as far as possible,εκ των ενόντων
as good as,τόσο καλός όσο
ash,στάχτη
ashame,ντροπιάζω
ashamed,ντροπιασμένος
ashamed of,ντροπιασμένος
as happy as pig in muck,στο στοιχείο μου
ashen,τεφροειδής
as he put it,όπως το έλεγε
ashore,στην ξηρά
ashtray,σταχτοδοχείο
ash tree,μελιά
Ash Wednesday,πρώτη τετάρτη της Σαρακοστής
ashy,τεφρώδης
Asia,Ασία
Asian,ασιάτης
Asian,ασιατικός
aside,πλάι
as if,σαν να
asinine,ηλίθιος
as it was pointed out to him,όπως του επισημάνθηκε
ask,ρωτώ
askance,λοξά
ask a question,κάνω μία ερώτηση
asked,ζήτησα
askew,στραβά
ask for trouble,πάω γυρεύοντας
ask oneself,διερωτώ
asleep,κοιμώμενος
as long as,αρκεί να
asocial,ακοινώνητος
as one,σύσσωμος
as opposed to,σε αντίθεση με
asparagus,σπαράγγι
a spate of,πληθώρα
aspect,θωριά
aspen,λεύκη
asperity,δριμύτητα
aspersion,κακολογία
asphalt,άσφαλτος
asphyxiate,ασφυκτιώ
aspic,καλογερικόχορτο
aspic jelly,πηκτή
aspirant,υπψήφιος
aspirate,αναρροφώ
aspiration,βλέψη
aspire,φιλοδοξώ
aspire to,επιδιώκω
aspirin,ασπιρίνη
as plain as a pikestaff,ηλίου φαεινότερον
ass,γάιδαρος
assai,επιτίθεμαι
assailant,επιτιθέμενος
assassin,δολοφόνος
